place,place_name
731,서울시 도로환경관리센터
732,신월동 이마트
733,신정이펜하우스314동
734,신트리공원 입구
735,영도초등학교
736,오솔길공원
737,장수공원
739,신월사거리
740,으뜸공원
741,화곡로 입구 교차로
742,등촌역 5번 출구 뒤
743,현대6차아파트 101동 옆
744,신목동역 2번 출구
745,강서초등학교
746,목동2단지 상가
747,목동3단지 상가
748,목동운동장
749,이대 목동병원 앞
750,연의근린공원 건너편
752,성원2차 아파트
754,목동1단지아파트 118동 앞 (월촌초등학교 정류소 옆)
755,목동1단지아파트 상가 앞 (월촌중학교 버스정류소 옆)
756,목동주차장
757,신정이펜하우스 1단지아파트 입구 사거리
758,한사랑교회 앞
759,보아스아파트 앞
760,잣절보도육교 아래
762,오목로 무중력지대 앞
763,목동11단지 아파트
764,목동청소년수련관
800,목월공원 앞
802,한강진역 2번 출구 앞
803,한남초교 앞 보도육교
806,전자랜드 본관 앞
807,서울역 12번 출구 앞
808,서빙고동 금호맨션 앞
809,한남 유수지 복개주차장
810,이태원지하보도
811,녹사평역1번출구
812,용산전쟁기념관
813,삼각지역 3번출구
815,LIG강촌아파트 103동앞
816,신용산역 6번출구 앞
817,삼각지역 4번출구 앞
818,숙명여대 입구 교차로
819,선린인터넷 고등학교
820,청파동입구 교차로
822,이촌1동 마을공원
823,효창동주민센터 앞
825,서빙고동 주민센터 앞
826,서울역 서부교차로2
827,국군복지단
828,숙대입구역 8번
829,베르가모앞
830,청암자이아파트앞
831,이태원관광특구입구
832,이촌1동 주민센터 뒤
834,효창공원앞역 3번출구 뒤
835,남영역 건너편
836,현대자동차서비스 앞
837,한남나들목 입구
838,숙대입구역 4번출구
839,보광동 삼성리버빌아파트 앞
840,용산 파크타워 앞
841,신용산역 1번 출구
843,녹사평역 광장
844,이촌2동 동원베네스트 아파트 앞
845,용산 선인상가
846,용산중학교
900,은평예술회관
901,응암1동사무소
902,진관동 은빛초등학교
903,은평뉴타운 아이파크
904,은평뉴타운 푸르지오
905,구파발역 2번출구
906,연신내역 5번출구150M 아래
907,CJ 드림시티
908,구산역 4번출구
909,백련산 힐스테이트 3차
911,은평평화공원(역촌역4번출구)
912,응암오거리
913,이마트 은평점
914,새절역 2번출구
915,증산역 4번출구
916,평생학습관 앞
917,녹번역 4번출구
919,서울혁신파크
921,신도고등학교
922,연신내역 4번출구
923,국민은행 연서지점
924,메뚜기다리
925,불광역 2번출구
926,불광역 8번출구
927,연신내역 3번출구 인근
928,은평역사한옥박물관
930,구 서부경찰서 건너편
931,역촌파출소
932,예일여중
933,LG서비스 역촌점
934,신사동 성당
935,역촌역 1번 출구
937,상림마을 롯데캐슬2단지 옆
938,금암 문화공원
939,은평구청 교차로
941,은평뉴타운 도서관
942,상림마을 생태공원
943,은평구청 보건소
945,기자촌 사거리
946,독바위역
947,연신내 선일하이츠빌 정류소
948,디지털미디어 시티역 4번출구
949,연신내역 1번 출구
950,구산역 2번 출구
951,연신내역 6번출구옆
952,서울연신중학교
953,서울연신초등학교
954,은평뉴타운구파발9단지
956,응암시장교차로
958,신한은행 응암동 지점 앞
959,구파발10단지 인근
960,구파발역 환승센터
961,불광역 9번 출구
962,은평뉴타운 힐데스하임
963,대호프라자아파트
964,북한산힐스테이트 7차아파트
965,서울특별시 은평병원
966,서울혁신파크1
967,서울혁신파크2
968,은평뉴타운 상림마을 13단지
969,은평 지웰테라스
971,역촌 센트레빌 아파트
1001,광진교 남단 사거리(디지털프라자앞)
1002,해공공원(천호동)
1003,해공도서관앞
1004,삼성광나루아파트 버스정류장
1006,롯데캐슬 115동앞
1007,암사동 선사유적지
1008,암사역 3번출구(국민은행앞)
1009,천호역4번출구(현대백화점)
1010,강동세무서
1011,LIGA 아파트 앞
1012,서울 상운차량
1013,강동구청역 1번 출입구
1014,강동구평생학습관앞
1015,샛마을 근린공원
1016,해뜨는 주유소옆 리엔파크 109동앞
1017,맥도날드(길동)
1018,둔촌 주공 GS 맞은편
1019,다성이즈빌아파트(호원대 대각선 맞은편)
1020,강동경찰서
1021,강일동 리슈빌 빌딩앞
1022,길동 사거리(초소앞)
1023,한국종합기술사옥 앞
1024,강동구청 앞
1025,상일초등학교
1026,대명초교 입구 교차로
1027,프라자 아파트 앞
1028,포레스 주상복합 빌딩
1029,롯데 시네마
1030,미호 플랜트 앞
1031,암사동 CBIS
1032,선사고등학교
1033,고덕동 아남아파트
1034,고덕동 래미안 힐스테이트
1035,고덕역 4번출구
1036,고덕동 주양쇼핑
1037,강일 6단지
1038,강일 다솜 어린이 공원
1039,고덕초등학교
1041,묘곡초등학교
1042,강일 25단지 사이
1044,굽은다리역
1047,건강보험 강동지사kt
1048,동부기업(둔촌동)
1049,강일동 10단지 아파트
1050,둔촌역 3번 출입구
1051,양지시장 (용성약국앞) 입구
1052,리싸이클시티
1053,동명근린공원 진입로 (아리수로)
1054,말우물 어린이 공원
1056,강일리엔파크 7~11단지
1057,능골근린공원
1058,고덕숲 아이파크 1
1059,레미안 강동팰리스(102동)
1060,천일초교 사거리
1061,천호초교 입구 사거리(일주빌딩)
1062,고덕숲 아이파크 2
1101,개화동상사마을종점 버스정류장
1102,방화사거리 마을버스 버스정류장
1103,방화역 4번출구앞
1105,방화근린공원
1106,신방화사거리
1108,공항시장역 1번출구
1109,공항시장역 4번출구
1110,공항중학교앞
1111,마곡엠밸리6_7단지 마곡중학교
1112,마곡엠밸리4단지 정문
1113,서남환경공원 버스정류장
